invoice_id,customer_id,issue_date,due_date,amount,status,days_past_due,blocked
INV000057,1846,2025-03-07,2025-04-24,1495.69,open,296,False
INV000058,1530,2025-01-19,2025-03-14,2476.48,paid,337,False
INV000059,1205,2025-03-31,2025-05-20,2952.9,paid,270,False
INV000060,1593,2025-03-23,2025-05-15,2491.79,open,275,False
INV000061,1144,2025-04-21,2025-05-30,466.37,partial,260,True
INV000062,1021,2025-03-31,2025-04-16,1256.15,open,304,False
INV000063,1632,2025-02-13,2025-03-22,4225.76,paid,329,False
INV000064,1515,2025-04-27,2025-05-20,3206.06,open,270,False
INV000065,1756,2025-02-19,2025-04-15,3263.29,paid,305,False
INV000066,1344,2025-02-09,2025-03-06,3367.51,partial,345,False
INV000067,1854,2025-04-19,2025-05-14,3826.37,paid,276,False
INV000068,1421,2025-02-14,2025-03-12,337.64,open,339,False
INV000069,1738,2025-01-10,2025-02-22,1864.71,paid,357,False
INV000070,1100,2025-02-26,2025-04-07,2720.66,paid,313,False
INV000071,1097,2025-04-06,2025-06-02,1725.36,open,257,False
INV000072,1782,2025-01-23,2025-02-25,4230.17,open,354,False
INV000073,1833,2025-02-25,2025-03-24,2438.73,paid,327,False
INV000074,1942,2025-01-16,2025-02-02,3854.71,open,377,False
INV000075,1324,2025-03-24,2025-04-08,4267.48,open,312,False
INV000076,1022,2025-02-27,2025-03-30,2548.72,paid,321,False
INV000077,1979,2025-02-09,2025-04-06,4552.28,paid,314,False
INV000078,1601,2025-01-28,2025-03-07,2956.26,paid,344,False
INV000079,1247,2025-03-09,2025-05-03,4258.86,open,287,True
INV000080,1763,2025-03-22,2025-04-10,1735.92,paid,310,False
INV000081,1903,2025-04-23,2025-05-12,2519.14,paid,278,False
INV000082,1284,2025-02-22,2025-04-15,2680.48,open,305,False
INV000083,1769,2025-01-20,2025-02-08,569.65,open,371,False
INV000084,1787,2025-04-10,2025-04-27,2022.83,open,293,False
INV000085,1501,2025-03-17,2025-04-19,4590.82,partial,301,False
INV000086,1632,2025-03-26,2025-05-21,3172.62,open,269,False
INV000087,1269,2025-01-12,2025-02-27,928.66,open,352,False
INV000088,1929,2025-02-07,2025-02-26,1727.34,open,353,False
INV000089,1983,2025-04-03,2025-05-25,998.43,paid,265,False
INV000090,1981,2025-04-10,2025-06-01,172.87,paid,258,False
INV000091,1737,2025-02-22,2025-04-14,4640.93,paid,306,False
INV000092,1042,2025-04-07,2025-06-01,2268.63,open,258,False
INV000093,1366,2025-04-12,2025-05-07,1572.3,paid,283,False
INV000094,1444,2025-02-16,2025-04-16,3012.46,paid,304,False
INV000095,1959,2025-04-18,2025-05-17,86.21,paid,273,False
INV000096,1546,2025-02-04,2025-03-27,1426.21,paid,324,False
INV000097,1536,2025-01-29,2025-03-11,3530.02,paid,340,False
INV000098,1146,2025-03-23,2025-05-12,3187.16,open,278,False
INV000099,1793,2025-03-18,2025-04-30,4909.94,open,290,False
INV000100,1336,2025-01-17,2025-03-01,3120.77,paid,350,False
INV000101,1091,2025-04-10,2025-05-22,2413.65,paid,268,False
INV000102,1987,2025-01-24,2025-03-15,3819.09,paid,336,False
INV000103,1190,2025-04-07,2025-05-25,4521.47,open,265,False
INV000104,1016,2025-01-01,2025-01-22,3617.44,open,388,False
INV000105,1077,2025-04-06,2025-05-28,4817.9,paid,262,False
INV000106,1452,2025-04-05,2025-05-14,3920.93,open,276,False
INV000107,1102,2025-04-04,2025-05-03,4340.67,paid,287,True
INV000108,1842,2025-03-21,2025-04-28,614.82,paid,292,False
INV000109,1512,2025-02-26,2025-04-25,3675.45,partial,295,False
INV000110,1323,2025-03-26,2025-05-18,2228.44,paid,272,False
INV000111,1003,2025-02-03,2025-03-27,2787.86,paid,324,False
INV000112,1479,2025-04-04,2025-05-09,3287.81,paid,281,False
INV000113,1151,2025-03-08,2025-04-27,4850.58,open,293,False
INV000114,1978,2025-02-25,2025-03-29,4923.66,open,322,False
INV000115,1291,2025-03-02,2025-04-16,1476.73,partial,304,False
INV000116,1474,2025-03-10,2025-04-22,3682.08,paid,298,False
INV000117,1018,2025-01-05,2025-01-31,3762.42,paid,379,False
INV000118,1130,2025-01-17,2025-02-12,1765.14,open,367,False
INV000119,1207,2025-01-30,2025-02-16,663.16,paid,363,True
INV000120,1051,2025-01-14,2025-02-04,252.69,open,375,False
INV000121,1725,2025-02-22,2025-03-28,3897.85,open,323,False
INV000122,1945,2025-03-22,2025-04-27,2474.01,paid,293,False
INV000123,1985,2025-03-20,2025-04-11,4928.42,open,309,False
INV000124,1265,2025-02-26,2025-03-31,2351.62,paid,320,False
INV000125,1788,2025-04-13,2025-05-25,4890.69,paid,265,False
INV000126,1504,2025-03-09,2025-04-03,2087.3,paid,317,False
INV000127,1045,2025-01-10,2025-02-09,3978.73,paid,370,False
INV000128,1090,2025-04-02,2025-05-03,469.86,open,287,False
INV000129,1547,2025-03-10,2025-04-16,2799.54,open,304,False
INV000130,1423,2025-03-18,2025-04-18,4020.2,partial,302,False
INV000131,1008,2025-03-09,2025-04-26,4627.27,partial,294,False
INV000132,1930,2025-03-08,2025-04-06,4121.79,paid,314,False
INV000133,1730,2025-01-11,2025-02-14,233.01,paid,365,False
INV000134,1502,2025-03-09,2025-04-10,1894.88,open,310,False
INV000135,1986,2025-04-06,2025-04-29,291.06,partial,291,True
INV000136,1971,2025-02-06,2025-03-23,590.95,paid,328,False
INV000137,1973,2025-03-14,2025-04-08,3392.76,paid,312,False
INV000138,1258,2025-01-04,2025-02-01,3580.63,paid,378,False
INV000139,1880,2025-02-11,2025-04-02,3879.92,paid,318,False
INV000140,1504,2025-02-22,2025-04-20,4334.01,open,300,False
INV000141,1726,2025-04-28,2025-06-12,3710.19,paid,247,False
INV000142,1859,2025-01-26,2025-03-23,4014.31,open,328,False
INV000143,1163,2025-02-03,2025-03-28,292.37,open,323,False
INV000144,1448,2025-02-19,2025-03-27,1210.95,open,324,False
INV000145,1128,2025-04-30,2025-06-18,3128.39,paid,241,False
INV000146,1279,2025-04-13,2025-05-12,4297.72,paid,278,False
INV000147,1413,2025-01-05,2025-02-09,72.28,open,370,False
INV000148,1855,2025-01-29,2025-03-09,2597.42,open,342,False
INV000149,1862,2025-04-09,2025-06-06,3402.57,paid,253,False
INV000150,1389,2025-01-07,2025-03-01,196.56,open,350,False
INV000151,1329,2025-04-13,2025-05-20,2036.71,paid,270,False
INV000152,1530,2025-02-03,2025-03-19,4483.39,open,332,False
INV000153,1911,2025-04-21,2025-05-15,3374.48,paid,275,False
INV000154,1976,2025-02-05,2025-03-28,1226.41,paid,323,False
INV000155,1226,2025-02-22,2025-04-02,4271.27,paid,318,False
INV000156,1186,2025-03-21,2025-04-28,1772.76,paid,292,False
INV000157,1706,2025-01-16,2025-03-06,4274.06,paid,345,False
INV000158,1301,2025-03-08,2025-04-20,1529.77,paid,300,False
INV000159,1199,2025-03-02,2025-03-20,2972.09,paid,331,False
INV000160,1031,2025-04-05,2025-05-02,2014.85,open,288,False
INV000161,1403,2025-04-30,2025-05-22,1410.38,paid,268,False
INV000162,1391,2025-03-21,2025-05-08,4438.46,open,282,False
INV000163,1563,2025-02-19,2025-03-07,978.59,open,344,False
INV000164,1200,2025-02-18,2025-03-14,469.82,paid,337,False
INV000165,1714,2025-02-20,2025-04-02,1742.54,paid,318,False
INV000166,1680,2025-04-08,2025-05-24,3602.31,open,266,False
INV000167,1462,2025-02-08,2025-03-17,4046.79,open,334,False
INV000168,1181,2025-01-21,2025-03-15,4993.78,paid,336,False
INV000169,1506,2025-02-10,2025-04-07,1516.99,open,313,False
INV000170,1674,2025-01-03,2025-01-23,2069.31,paid,387,False
INV000171,1372,2025-01-13,2025-03-11,727.27,paid,340,False
INV000172,1263,2025-01-11,2025-02-22,2895.62,open,357,False
INV000173,1506,2025-04-03,2025-05-16,4988.02,paid,274,False
INV000174,1355,2025-03-28,2025-04-16,3519.36,open,304,False
INV000175,1400,2025-03-25,2025-05-06,2996.3,paid,284,False
INV000176,1348,2025-02-25,2025-04-13,1992.23,open,307,False
INV000177,1303,2025-03-28,2025-05-08,4580.73,paid,282,False
INV000178,1716,2025-01-20,2025-02-07,2509.74,paid,372,False
INV000179,1460,2025-04-19,2025-05-27,715.12,paid,263,False
INV000180,1466,2025-03-02,2025-04-28,1858.62,paid,292,False
INV000181,1653,2025-04-23,2025-06-09,382.48,open,250,False
INV000182,1361,2025-01-19,2025-02-09,1049.8,paid,370,False
INV000183,1101,2025-03-01,2025-04-28,137.46,paid,292,False
INV000184,1852,2025-03-25,2025-05-22,2293.74,paid,268,False
INV000185,1055,2025-03-01,2025-03-23,3190.97,paid,328,False
INV000186,1571,2025-02-23,2025-04-15,1749.3,open,305,False
INV000187,1265,2025-01-20,2025-02-22,2130.89,paid,357,False
INV000188,1213,2025-02-15,2025-03-28,4798.09,partial,323,False
INV000189,1041,2025-01-29,2025-03-05,3772.22,paid,346,False
INV000190,1900,2025-02-06,2025-03-28,2727.24,open,323,False
INV000191,1429,2025-03-24,2025-05-22,1458.48,paid,268,False
INV000192,1342,2025-03-17,2025-05-06,4490.13,paid,284,False
INV000193,1741,2025-03-14,2025-05-09,1213.73,open,281,False
INV000194,1038,2025-02-13,2025-04-11,1660.45,partial,309,False
INV000195,1564,2025-04-26,2025-05-15,4549.87,open,275,False
INV000196,1494,2025-01-11,2025-02-06,2671.23,paid,373,False
INV000197,1553,2025-02-11,2025-03-30,3724.47,paid,321,False
INV000198,1123,2025-01-15,2025-02-25,2974.19,open,354,False
INV000199,1952,2025-02-10,2025-02-27,3284.52,paid,352,True
INV000200,1238,2025-04-26,2025-05-15,1531.95,open,275,False
INV000201,1678,2025-02-13,2025-03-23,1244.79,paid,328,False
INV000202,1747,2025-04-20,2025-06-01,1646.34,paid,258,True
INV000203,1343,2025-03-01,2025-03-23,819.44,open,328,False
INV000204,1130,2025-03-25,2025-04-16,4377.86,open,304,False
INV000205,1296,2025-02-24,2025-03-16,1452.07,paid,335,False
INV000206,1806,2025-02-01,2025-03-13,2829.37,paid,338,True
INV000207,1906,2025-04-02,2025-04-17,3970.27,open,303,False
INV000208,1936,2025-04-27,2025-06-06,3929.93,paid,253,False
INV000209,1226,2025-02-01,2025-03-09,2220.01,paid,342,False
INV000210,1606,2025-04-04,2025-05-09,2407.47,paid,281,False
INV000211,1151,2025-02-01,2025-03-18,4973.77,open,333,False
INV000212,1710,2025-03-28,2025-05-05,3389.26,open,285,False
INV000213,1415,2025-04-05,2025-05-22,4082.46,paid,268,True
INV000214,1713,2025-02-23,2025-04-13,4517.64,paid,307,False
INV000215,1685,2025-03-30,2025-05-25,3948.57,paid,265,False
INV000216,1992,2025-02-02,2025-03-24,966.64,paid,327,False
INV000217,1488,2025-01-10,2025-02-17,2832.75,paid,362,False
INV000218,1341,2025-01-12,2025-02-18,554.38,paid,361,False
INV000219,1526,2025-02-23,2025-03-20,3281.96,open,331,False
INV000220,1162,2025-04-19,2025-05-30,4778.98,paid,260,False
INV000221,1111,2025-01-16,2025-02-06,2588.02,paid,373,False
INV000222,1519,2025-02-24,2025-04-21,2193.21,paid,299,False
INV000223,1825,2025-03-26,2025-05-18,227.42,open,272,False
INV000224,1533,2025-01-25,2025-02-14,4800.88,open,365,False
INV000225,1781,2025-03-28,2025-05-17,559.86,paid,273,False
INV000226,1177,2025-02-06,2025-02-26,253.34,open,353,False
INV000227,1449,2025-04-08,2025-05-25,1268.03,paid,265,False
INV000228,1613,2025-03-11,2025-03-29,374.38,paid,322,False
INV000229,1347,2025-03-07,2025-04-12,2302.83,open,308,False
INV000230,1014,2025-01-22,2025-03-07,2604.63,paid,344,False
INV000231,1073,2025-02-25,2025-04-13,1597.22,paid,307,False
INV000232,1927,2025-04-13,2025-05-16,302.25,paid,274,False
INV000233,1605,2025-01-03,2025-02-28,602.42,paid,351,False
INV000234,1264,2025-04-02,2025-05-21,1953.3,open,269,False
INV000235,1258,2025-03-01,2025-03-25,349.62,paid,326,False
INV000236,1039,2025-03-28,2025-05-12,3506.04,paid,278,False
INV000237,1944,2025-03-21,2025-05-07,1074.75,paid,283,False
INV000238,1108,2025-02-21,2025-03-23,1545.25,paid,328,False
INV000239,1759,2025-02-07,2025-03-27,2000.92,paid,324,False
INV000240,1240,2025-03-17,2025-05-11,2112.22,paid,279,False
INV000241,1335,2025-01-17,2025-03-09,58.22,open,342,False
INV000242,1273,2025-03-12,2025-04-30,604.75,paid,290,False
INV000243,1824,2025-01-12,2025-02-24,4320.68,paid,355,False
INV000244,1032,2025-03-19,2025-04-15,56.1,paid,305,True
INV000245,1352,2025-03-17,2025-05-06,2565.43,paid,284,False
INV000246,1279,2025-01-11,2025-02-11,2473.03,paid,368,False
INV000247,1272,2025-04-01,2025-05-09,1698.82,open,281,False
INV000248,1192,2025-02-19,2025-03-20,2185.07,paid,331,False
INV000249,1912,2025-04-05,2025-05-04,3913.88,open,286,False
INV000250,1378,2025-01-05,2025-01-27,4213.96,open,383,False
INV000251,1418,2025-01-22,2025-03-21,1338.73,paid,330,False
INV000252,1385,2025-03-01,2025-03-22,1646.33,paid,329,False
INV000253,1980,2025-01-23,2025-02-10,1250.29,paid,369,False
INV000254,1339,2025-02-09,2025-04-07,2425.32,open,313,False
INV000255,1341,2025-03-21,2025-04-29,3432.13,paid,291,False
INV000256,1327,2025-01-18,2025-02-21,1179.85,open,358,False
INV000257,1326,2025-03-23,2025-05-10,1687.14,open,280,False
INV000258,1089,2025-01-13,2025-02-14,4655.4,open,365,True
INV000259,1604,2025-01-22,2025-02-11,290.42,paid,368,False
INV000260,1025,2025-03-12,2025-04-28,2330.81,partial,292,False
INV000261,1225,2025-04-06,2025-04-28,3572.21,paid,292,False
INV000262,1202,2025-01-21,2025-03-01,794.75,paid,350,False
INV000263,1291,2025-02-05,2025-04-03,284.5,paid,317,False
INV000264,1756,2025-04-22,2025-06-18,734.12,open,241,False
INV000265,1599,2025-04-29,2025-05-30,4598.17,paid,260,False
INV000266,1990,2025-03-11,2025-04-30,95.84,open,290,False
INV000267,1351,2025-02-23,2025-04-06,982.19,paid,314,True
INV000268,1928,2025-02-11,2025-03-19,204.85,partial,332,False
INV000269,1044,2025-03-15,2025-04-05,597.62,paid,315,False
INV000270,1504,2025-03-12,2025-04-12,3119.74,paid,308,False
INV000271,1798,2025-02-05,2025-03-21,1246.11,partial,330,False
INV000272,1531,2025-01-03,2025-03-03,2867.6,paid,348,False
INV000273,1933,2025-01-19,2025-02-03,2971.47,paid,376,False
INV000274,1314,2025-04-26,2025-06-12,4254.7,paid,247,False
INV000275,1033,2025-02-20,2025-04-14,73.47,paid,306,False
INV000276,1773,2025-02-27,2025-04-25,4274.18,paid,295,False
INV000277,1068,2025-02-26,2025-04-01,3114.64,paid,319,False
INV000278,1764,2025-04-04,2025-04-24,855.58,paid,296,False
INV000279,1733,2025-01-08,2025-02-04,3876.04,open,375,False
INV000280,1844,2025-01-10,2025-03-04,4284.68,paid,347,False
INV000281,1478,2025-02-03,2025-03-29,1308.6,paid,322,False
INV000282,1895,2025-02-28,2025-04-12,4598.03,paid,308,False
INV000283,1169,2025-03-22,2025-04-11,2299.56,paid,309,False
INV000284,1434,2025-02-28,2025-03-20,3036.95,open,331,False
INV000285,1121,2025-02-22,2025-03-30,4924.02,open,321,False
INV000286,1766,2025-04-23,2025-06-03,1839.6,open,256,False
INV000287,1714,2025-01-20,2025-02-05,4075.14,paid,374,False
INV000288,1806,2025-03-10,2025-04-24,1626.08,paid,296,False
INV000289,1764,2025-03-07,2025-04-15,4006.11,paid,305,False
INV000290,1308,2025-02-26,2025-03-13,3023.63,paid,338,False
INV000291,1068,2025-04-07,2025-04-26,1120.96,paid,294,False
INV000292,1929,2025-02-02,2025-03-09,2099.43,open,342,False
INV000293,1492,2025-04-25,2025-06-11,1622.3,paid,248,False
INV000294,1094,2025-02-09,2025-04-02,436.64,paid,318,False
INV000295,1927,2025-03-07,2025-04-10,197.68,paid,310,False
INV000296,1994,2025-03-04,2025-04-01,1765.07,paid,319,False
INV000297,1445,2025-04-12,2025-06-09,144.22,paid,250,False
INV000298,1770,2025-02-22,2025-03-29,869.16,paid,322,False
INV000299,1036,2025-02-04,2025-03-05,3639.66,open,346,False
INV000300,1093,2025-01-03,2025-02-06,3555.05,paid,373,False
INV000301,1276,2025-02-13,2025-02-28,3705.97,paid,351,False
INV000302,1656,2025-04-10,2025-05-08,1619.91,paid,282,False
INV000303,1133,2025-01-02,2025-02-09,4455.6,open,370,False
INV000304,1034,2025-04-18,2025-06-13,2989.46,paid,246,False
INV000305,1668,2025-03-07,2025-04-24,673.83,open,296,False
INV000306,1770,2025-01-17,2025-03-08,761.41,open,343,False
INV000307,1739,2025-02-06,2025-03-17,3480.82,paid,334,False
INV000308,1799,2025-03-08,2025-03-27,906.07,open,324,False
INV000309,1802,2025-02-07,2025-03-11,2561.1,paid,340,False
INV000310,1602,2025-01-14,2025-03-14,4959.28,open,337,False
INV000311,1519,2025-03-21,2025-04-06,69.84,paid,314,False
INV000312,1856,2025-03-22,2025-05-15,132.07,open,275,False
INV000313,1348,2025-01-15,2025-03-01,4965.77,paid,350,False
INV000314,1097,2025-02-03,2025-03-02,2943.96,paid,349,False
INV000315,1751,2025-01-30,2025-03-21,678.2,paid,330,False
INV000316,1275,2025-03-21,2025-05-12,4491.65,open,278,False
INV000317,1978,2025-03-29,2025-04-14,4407.88,paid,306,False
INV000318,1414,2025-03-29,2025-04-17,2704.19,paid,303,False
INV000319,1851,2025-04-23,2025-06-06,3127.87,open,253,False
INV000320,1042,2025-04-03,2025-06-01,1402.28,open,258,False
INV000321,1659,2025-02-08,2025-02-24,300.07,paid,355,False
INV000322,1448,2025-01-13,2025-02-26,2993.11,paid,353,False
INV000323,1462,2025-03-15,2025-04-05,1509.04,paid,315,False
INV000324,1265,2025-04-20,2025-06-03,3334.92,open,256,False
INV000325,1971,2025-04-28,2025-06-10,4189.41,paid,249,False
INV000326,1392,2025-01-28,2025-02-16,139.89,open,363,False
INV000327,1850,2025-01-29,2025-03-15,2998.78,paid,336,False
INV000328,1425,2025-01-05,2025-03-01,1194.84,paid,350,False
INV000329,1048,2025-01-17,2025-03-11,4375.75,paid,340,False
INV000330,1879,2025-03-08,2025-03-24,1305.64,paid,327,False
INV000331,1185,2025-03-07,2025-04-02,3073.31,open,318,False
INV000332,1270,2025-02-14,2025-03-11,2790.03,paid,340,True
INV000333,1861,2025-02-07,2025-03-14,2011.02,paid,337,False
INV000334,1893,2025-04-10,2025-05-01,3404.22,partial,289,False
INV000335,1916,2025-02-25,2025-04-19,3642.56,partial,301,False
INV000336,1425,2025-04-07,2025-05-26,2856.34,open,264,False
INV000337,1756,2025-04-26,2025-06-16,3804.19,paid,243,False
INV000338,1327,2025-02-08,2025-03-03,4917.91,paid,348,False
INV000339,1740,2025-01-25,2025-02-09,2125.4,open,370,False
INV000340,1502,2025-04-25,2025-06-19,2597.19,paid,240,False
INV000341,1051,2025-03-18,2025-04-15,111.73,paid,305,False
INV000342,1417,2025-02-04,2025-03-20,3990.34,open,331,False
INV000343,1467,2025-03-16,2025-05-10,2625.14,paid,280,False
INV000344,1257,2025-03-03,2025-03-19,2069.41,paid,332,False
INV000345,1374,2025-04-19,2025-05-04,515.66,partial,286,False
INV000346,1502,2025-01-31,2025-02-15,4453.8,open,364,False
INV000347,1049,2025-04-29,2025-05-21,2005.29,paid,269,False
INV000348,1151,2025-04-23,2025-05-10,3428.78,paid,280,False
INV000349,1766,2025-01-22,2025-03-14,789.4,paid,337,False
INV000350,1351,2025-01-20,2025-03-03,4809.67,paid,348,False
INV000351,1608,2025-03-05,2025-05-03,933.29,open,287,False
INV000352,1565,2025-01-06,2025-02-26,1037.73,open,353,False
INV000353,1551,2025-02-05,2025-04-04,4301.97,paid,316,False
INV000354,1413,2025-02-22,2025-03-19,4567.28,paid,332,False
INV000355,1483,2025-04-27,2025-05-24,1100.13,open,266,False
INV000356,1823,2025-04-30,2025-06-22,2375.51,paid,237,True
INV000357,1965,2025-01-19,2025-02-14,3680.8,paid,365,False
INV000358,1256,2025-04-18,2025-05-05,4397.91,paid,285,False
INV000359,1669,2025-01-11,2025-02-25,1926.31,open,354,False
INV000360,1969,2025-03-31,2025-05-21,2609.25,paid,269,False
INV000361,1007,2025-04-12,2025-06-09,3721.5,open,250,False
INV000362,1784,2025-04-17,2025-06-12,3669.12,paid,247,True
INV000363,1496,2025-01-27,2025-02-16,3925.65,open,363,True
INV000364,1967,2025-04-18,2025-06-06,2871.17,paid,253,False
INV000365,1578,2025-01-14,2025-03-08,567.84,paid,343,False
INV000366,1838,2025-03-04,2025-04-19,4524.67,paid,301,False
INV000367,1166,2025-02-26,2025-04-18,4334.58,paid,302,False
INV000368,1142,2025-02-07,2025-03-31,4000.58,paid,320,False
INV000369,1926,2025-01-03,2025-02-07,544.32,paid,372,False
INV000370,1526,2025-04-03,2025-04-19,1061.77,paid,301,False
INV000371,1558,2025-02-10,2025-03-17,3730.82,paid,334,False
INV000372,1169,2025-03-21,2025-04-14,164.54,open,306,False
INV000373,1226,2025-02-19,2025-03-11,4897.16,paid,340,True
INV000374,1818,2025-02-14,2025-03-06,1916.87,open,345,True
INV000375,1303,2025-04-17,2025-06-02,3610.6,partial,257,False
INV000376,1584,2025-01-12,2025-02-18,4443.48,paid,361,False
INV000377,1316,2025-03-30,2025-05-08,2003.42,open,282,False
INV000378,1263,2025-03-31,2025-05-18,1629.71,open,272,False
INV000379,1166,2025-02-15,2025-03-26,3063.27,open,325,False
INV000380,1929,2025-02-01,2025-03-16,2925.9,paid,335,False
INV000381,1940,2025-01-01,2025-01-19,2075.24,paid,391,False
INV000382,1115,2025-04-23,2025-06-15,3028.79,paid,244,False
INV000383,1353,2025-04-24,2025-05-29,4680.14,paid,261,False
INV000384,1563,2025-01-29,2025-02-19,2364.82,partial,360,False
INV000385,1383,2025-01-04,2025-02-24,1023.87,partial,355,False
INV000386,1721,2025-01-15,2025-03-04,1917.17,paid,347,False
INV000387,1260,2025-01-09,2025-01-26,2000.83,open,384,False
INV000388,1058,2025-04-10,2025-05-03,698.99,paid,287,False
INV000389,1336,2025-04-18,2025-05-03,856.21,open,287,False
INV000390,1597,2025-01-19,2025-02-15,3438.58,paid,364,False
INV000391,1180,2025-03-31,2025-04-19,1730.41,open,301,False
INV000392,1815,2025-01-22,2025-03-09,4776.75,open,342,False
INV000393,1012,2025-02-14,2025-03-24,1255.8,paid,327,False
INV000394,1067,2025-03-13,2025-05-11,539.68,paid,279,False
INV000395,1508,2025-03-28,2025-05-15,3779.85,open,275,False
INV000396,1512,2025-04-15,2025-05-27,4411.13,paid,263,False
INV000397,1294,2025-01-06,2025-02-12,1426.66,paid,367,False
INV000398,1258,2025-01-24,2025-02-10,1050.34,open,369,False
INV000399,1069,2025-02-03,2025-02-21,969.54,paid,358,False
INV000400,1662,2025-02-07,2025-03-21,2633.96,paid,330,False
INV000401,1379,2025-04-30,2025-05-15,2368.66,paid,275,False
INV000402,1118,2025-04-04,2025-04-20,1334.23,paid,300,False
INV000403,1399,2025-02-08,2025-03-04,273.61,partial,347,False
INV000404,1937,2025-04-27,2025-06-20,2433.38,paid,239,False
INV000405,1261,2025-03-01,2025-04-05,4798.7,paid,315,False
INV000406,1894,2025-03-02,2025-04-17,3279.97,paid,303,False
INV000407,1258,2025-02-22,2025-03-27,2502.76,partial,324,False
INV000408,1185,2025-01-18,2025-02-09,597.93,paid,370,False
INV000409,1260,2025-04-23,2025-05-24,1299.56,open,266,False
INV000410,1323,2025-01-02,2025-01-21,1509.13,open,389,False
INV000411,1120,2025-01-21,2025-03-11,3835.78,open,340,False
INV000412,1587,2025-01-28,2025-02-20,4389.72,partial,359,False
INV000413,1333,2025-02-03,2025-03-06,4513.13,open,345,False
INV000414,1718,2025-01-16,2025-03-16,4923.61,open,335,False
INV000415,1490,2025-01-03,2025-02-13,4912.72,paid,366,False
INV000416,1442,2025-03-23,2025-04-27,4767.35,open,293,False
